number,title,url,state,created_at,closed_at
123,feat/beautify the style of the VenusContainer,https://github.com/toeverything/AFFiNE/pull/123,merged,2022-08-06T10:19:32Z,2022-08-09T04:31:23Z
190,Fix: windows zoom,https://github.com/toeverything/AFFiNE/pull/190,merged,2022-08-11T07:30:11Z,2022-08-11T07:48:51Z
301,Feat/multi language support for venus,https://github.com/toeverything/AFFiNE/pull/301,merged,2022-08-19T11:18:57Z,2022-08-19T15:41:58Z
344,feat:add i18n for layout,https://github.com/toeverything/AFFiNE/pull/344,merged,2022-08-29T10:46:59Z,2022-09-02T02:16:41Z
548,feat: quick search,https://github.com/toeverything/AFFiNE/pull/548,merged,2022-12-08T08:32:04Z,2022-12-09T06:52:53Z
552,feat: quick search,https://github.com/toeverything/AFFiNE/pull/552,merged,2022-12-13T10:05:50Z,2022-12-13T10:22:01Z
555,feat: quick search support,https://github.com/toeverything/AFFiNE/pull/555,merged,2022-12-15T09:00:24Z,2022-12-15T09:03:34Z
619,chore: update the Switch To  path,https://github.com/toeverything/AFFiNE/pull/619,merged,2022-12-29T08:58:31Z,2022-12-29T12:11:07Z
627,chore: update quick search style of  slider bar,https://github.com/toeverything/AFFiNE/pull/627,merged,2022-12-30T03:04:18Z,2022-12-30T07:25:40Z
648,fix: quick search style bug,https://github.com/toeverything/AFFiNE/pull/648,merged,2023-01-01T16:15:15Z,2023-01-01T16:21:04Z
659,chore: delete the shortcut tips in slider bar,https://github.com/toeverything/AFFiNE/pull/659,merged,2023-01-03T07:38:55Z,2023-01-03T12:16:58Z
660,test: add test case for quick search,https://github.com/toeverything/AFFiNE/pull/660,merged,2023-01-03T08:24:44Z,2023-01-03T12:16:34Z
661,fix: wrong add page button position,https://github.com/toeverything/AFFiNE/pull/661,merged,2023-01-03T11:30:37Z,2023-01-03T12:15:59Z
667,feat：add i18n support,https://github.com/toeverything/AFFiNE/pull/667,merged,2023-01-04T12:05:10Z,2023-01-04T12:22:42Z
669,fix: favorite message typo,https://github.com/toeverything/AFFiNE/pull/669,merged,2023-01-05T04:48:27Z,2023-01-05T04:55:15Z
675,chore: merge master to  feat/cloud-sync,https://github.com/toeverything/AFFiNE/pull/675,merged,2023-01-06T03:01:39Z,2023-01-06T03:11:47Z
696,feat: extract i18n into a package,https://github.com/toeverything/AFFiNE/pull/696,merged,2023-01-09T06:59:24Z,2023-01-09T08:45:20Z
702,feat: language local storage support,https://github.com/toeverything/AFFiNE/pull/702,merged,2023-01-10T10:54:09Z,2023-01-10T11:43:57Z
709,feat: add sync i18n resource script,https://github.com/toeverything/AFFiNE/pull/709,merged,2023-01-11T07:47:40Z,2023-01-11T12:36:25Z
711,chore: remove searchArrowButton,https://github.com/toeverything/AFFiNE/pull/711,merged,2023-01-11T09:27:30Z,2023-01-11T10:37:49Z
